text,label
"I can't sleep because I am so worried about my math exam tomorrow.",High
"I feel totally prepared and calm for the test.",Low
"My heart is racing and my palms are sweating just thinking about finals.",High
"I've studied well, so I think I'll get a good grade.",Low
"I am somewhat nervous, but I think I can handle the pressure.",Medium
"I feel sick to my stomach when I look at the study material.",High
"It's just another test, I'll do my best.",Low
"I keep getting distracted because I am anxious about failing.",High
"I am a bit tense but a good night's sleep will help.",Medium
"I am confident in my preparation and excited to take the test.",Low